,0
2767,0.7567454
2745,0.5777513
660,0.6629482
2165,0.4772742
2340,0.2813714
2914,0.4830529
1818,0.21056817
38,0.67515016
1532,0.5303847
2477,0.64593637
330,0.3339705
2441,0.7330053
273,0.26984307
922,0.2055163
3129,0.81706685
2332,0.5708998
2893,0.26654458
529,0.80656
2689,0.51554614
2117,0.6124465
2873,0.2570794
1404,0.36436203
3327,0.32052246
2064,0.20327304
175,0.7682027
2087,0.4199229
1730,0.47418192
2352,0.19157664
1290,0.5741114
1745,0.24050157
3644,0.45762706
437,0.28352484
3115,0.58644414
173,0.5270917
3313,0.707926
3486,0.20156153
2664,0.6176493
122,0.43757963
3592,0.8934876
2777,0.4033478
2839,0.40391475
1515,0.60510886
916,0.26643357
2881,0.2710766
1444,0.28878215
3101,0.7243884
3003,0.22069868
1559,0.60265887
658,0.8965818
72,0.6755727
69,0.62035114
3730,0.19154614
2543,0.47130686
439,0.5672949
447,0.4790351
892,0.78183645
464,0.68981373
2157,0.5381397
293,0.4064789
1370,0.61272705
2613,0.76509625
1703,0.26360345
1617,0.73055446
725,0.34705618
3723,0.18343186
741,0.25475243
2949,0.4520203
668,0.7354603
1207,0.472955
2311,0.56672186
3449,0.6362904
1131,0.27731895
3647,0.16597527
1119,0.708815
3559,0.25798368
2459,0.7061749
1208,0.6965867
1743,0.25683168
236,0.38868228
2918,0.24287154
1737,0.7021956
2657,0.54762655
1027,0.6150054
323,0.58679056
2252,0.64530635
422,0.20177658
3398,0.597911
226,0.31241897
1971,0.5701847
1787,0.8550053
1117,0.5470476
318,0.7205621
2794,0.21401903
1044,0.707701
1200,0.25379625
3741,0.36339056
1402,0.27164236
1601,0.34879923
1931,0.336601
818,0.59294516
2398,0.6065814
3544,0.2578144
2519,0.61172587
1013,0.7525964
3113,0.30961046
21,0.37467146
2909,0.4201964
649,0.62702644
2641,0.23616193
1069,0.2892268
328,0.6461945
1947,0.2543732
990,0.22199747
2683,0.8675103
693,0.60112166
3018,0.20479868
1156,0.6379733
3743,0.31600374
2438,0.2684622
2704,0.59699523
349,0.65555435
691,0.217063
192,0.6555538
1901,0.53098464
115,0.65415776
2174,0.52466816
2775,0.6929337
2450,0.28836018
2218,0.6527341
287,0.29002002
3173,0.40239415
285,0.1826643
1771,0.177245
2270,0.515446
3341,0.2549502
3067,0.30597684
2800,0.5178598
202,0.1633979
3453,0.3823519
557,0.7226036
3030,0.7537173
1410,0.20973374
509,0.78030217
3696,0.7149753
388,0.6957974
562,0.75179493
3418,0.18107957
215,0.29159907
3090,0.270575
1989,0.6918612
2929,0.7225796
403,0.8153456
1492,0.6429748
3678,0.41147196
250,0.52762634
1456,0.24890564
2808,0.29659492
2345,0.79029816
2902,0.73915404
591,0.6317869
272,0.2135836
1008,0.39104703
1358,0.28043768
3110,0.74256706
3344,0.26447177
2079,0.27723858
1495,0.5996019
2737,0.49224195
1210,0.6090769
718,0.66742843
2944,0.5478557
3342,0.6470032
3093,0.71269023
3557,0.21675564
1113,0.28197294
1942,0.25418338
1843,0.6113497
2464,0.27101097
856,0.21446745
1046,0.28317085
1213,0.22416256
1196,0.6819809
2596,0.22396119
2741,0.7866452
2307,0.8497243
1292,0.23421182
3561,0.31777102
883,0.24783011
1398,0.59888315
2397,0.48376295
2843,0.5165241
2632,0.19276953
2338,0.6660659
2786,0.38076913
1240,0.53984046
59,0.34942976
2790,0.43815643
2577,0.56029993
