moleculeId,PredictedProbability
1,0.69211936
2,0.81123906
3,0.31504488
4,0.7057222
5,0.2692729
6,0.46227044
7,0.68849164
8,0.7430448
9,0.71033835
10,0.5965907
11,0.5223863
12,0.64713573
13,0.6226924
14,0.78931
15,0.4735229
16,0.31170693
17,0.43779317
18,0.25302482
19,0.41585258
20,0.30975717
21,0.26459068
22,0.70255023
23,0.66673017
24,0.8489901
25,0.76241267
26,0.6064703
27,0.2585731
28,0.46049368
29,0.34335834
30,0.47217828
31,0.26731864
32,0.2809437
33,0.62666714
34,0.32313037
35,0.33821645
36,0.61798775
37,0.7707945
38,0.71409804
39,0.74123526
40,0.8677073
41,0.49360803
42,0.2820932
43,0.71505344
44,0.7766748
45,0.27437657
46,0.5779142
47,0.66634274
48,0.53787756
49,0.76392746
50,0.6639018
51,0.7415838
52,0.24280326
53,0.7967452
54,0.2628183
55,0.24111561
56,0.7677439
57,0.75127786
58,0.7504704
59,0.83729625
60,0.66554606
61,0.5904909
62,0.66045237
63,0.31260148
64,0.26527372
65,0.5599319
66,0.3433455
67,0.36470622
68,0.2973713
69,0.26701632
70,0.38457873
71,0.6146427
72,0.6093753
73,0.6334609
74,0.7584567
75,0.43145388
76,0.25589302
77,0.71772695
78,0.44961408
79,0.6176045
80,0.3813822
81,0.68308103
82,0.5082148
83,0.2579309
84,0.30139506
85,0.49984866
86,0.6044305
87,0.5950579
88,0.32837293
89,0.5414697
90,0.31876692
91,0.70609933
92,0.67705226
93,0.46133584
94,0.330837
95,0.5364025
96,0.59260726
97,0.5742002
98,0.6867733
99,0.7413651
100,0.8088113
101,0.62049884
102,0.70672894
103,0.7250658
104,0.5943916
105,0.4600548
106,0.32704863
107,0.636451
108,0.6135152
109,0.75391555
110,0.44298667
111,0.5346237
112,0.54096746
113,0.25371647
114,0.7215228
115,0.67760897
116,0.22303712
117,0.5608261
118,0.33198673
119,0.6948047
120,0.30507225
121,0.38883895
122,0.29740924
123,0.68996847
124,0.41907728
125,0.58997005
126,0.22391738
127,0.5465325
