,Activity
446,0
898,0
1516,1
1611,1
2751,1
2369,0
3470,1
884,0
416,0
1336,1
1380,1
890,0
3746,1
1157,1
3456,1
1512,1
186,1
3511,1
3526,1
1182,1
3170,1
1675,1
2326,0
500,0
2587,1
3406,1
1630,0
1264,1
1831,0
440,0
2654,0
2727,1
3289,1
2073,1
2401,1
3286,0
750,0
3267,0
743,1
2238,0
1168,0
2793,0
763,0
335,0
3277,1
3472,1
1506,0
592,1
1609,0
3440,0
3586,0
1849,1
1986,1
3496,0
2315,0
730,0
1723,0
1796,1
3657,0
2349,1
1961,1
1993,1
1231,0
1072,0
706,1
2364,1
1195,0
3254,1
2294,0
3227,1
3324,1
1317,0
2476,0
3343,0
2053,1
319,1
515,1
510,0
3172,0
3437,1
1547,1
2878,0
3033,1
2648,0
2370,1
1211,0
355,0
1655,0
1074,0
3569,1
1859,0
62,0
61,1
2230,0
1775,0
1282,0
2040,0
615,1
1028,0
899,1
3117,1
2245,0
3435,0
1904,0
3601,1
823,1
2374,0
590,1
3633,1
3314,0
2291,1
1107,0
1348,1
2179,0
1747,1
1817,1
1654,1
2105,1
669,0
1416,0
2256,1
400,1
3120,0
2045,1
613,1
2443,0
1800,1
3255,0
2328,0
2874,0
3467,0
245,1
1830,0
3128,1
374,1
2847,1
3334,0
2106,1
3503,0
1535,1
3163,0
646,1
2776,0
3374,1
1333,0
3536,0
755,1
2384,0
902,0
2625,0
802,0
2686,0
3288,1
2945,1
751,1
378,0
1414,0
3365,0
605,1
289,0
1271,1
566,1
979,0
3541,0
3242,1
2854,0
2010,0
3425,0
3306,0
1756,0
1443,1
2295,0
1865,0
724,0
482,1
1351,1
961,1
3118,1
3296,1
1007,1
554,1
3387,1
910,1
3431,1
637,1
2480,0
2521,0
1255,1
3703,1
627,1
224,1
2763,1
1660,0
2182,0
1869,0
2942,0
1283,1
2423,1
3331,1
2153,1
81,0
850,0
2618,1
1992,1
2278,0
1175,1
3287,0
1548,1
106,1
2377,1
3504,1
2429,0
425,1
2726,1
2215,1
359,1
3134,0
169,0
3159,0
1338,1
1374,1
2740,0
1192,0
498,0
1082,0
463,1
256,0
1778,1
1510,0
341,0
2009,0
2133,0
195,1
23,0
290,1
2479,0
1672,1
2924,0
932,1
2651,1
28,1
1392,0
600,0
3490,1
2603,0
2542,1
1331,1
393,0
2663,1
765,1
1050,1
631,0
3032,1
688,1
1552,0
2610,1
3190,0
112,0
1868,1
1223,0
204,1
300,1
2176,1
3466,1
2981,1
699,0
2114,0
2474,1
1875,0
853,1
1577,0
1337,0
2828,0
3201,1
2277,0
3515,1
3345,1
2001,1
3715,1
128,1
2284,0
1051,0
1631,1
851,0
792,0
3568,0
876,0
3498,0
2785,1
3732,1
906,0
2160,1
568,1
1563,0
163,0
3597,1
1132,1
3271,0
737,0
1141,1
1922,1
2331,0
221,0
2170,1
2922,1
1228,1
460,1
488,1
3075,0
1203,1
2495,1
3205,1
687,1
715,0
149,0
2969,1
2250,1
486,0
298,0
888,1
255,1
2736,0
3143,0
97,1
2051,1
507,0
764,0
1872,1
2242,1
2667,1
686,1
1820,1
2532,0
31,0
2147,1
810,1
3135,0
3292,1
1288,0
239,0
2666,1
184,1
796,1
2899,0
3507,0
2724,0
903,0
3235,1
3193,1
1311,1
2880,1
1070,1
1222,1
1930,0
1625,1
3005,1
3362,1
700,1
2191,0
478,0
343,0
1330,1
1840,0
2448,1
3281,1
2393,1
1686,0
1897,1
1125,1
862,0
2144,1
938,1
2482,1
357,0
2502,0
3219,1
1948,0
535,1
2151,1
3223,1
1279,1
2125,0
1377,1
1122,0
3330,1
1441,1
2608,0
1648,0
1624,0
2335,1
3706,1
3168,1
232,1
680,1
1924,1
3529,1
311,1
1043,1
1450,1
1884,1
2190,0
1536,1
379,1
689,1
1221,0
3293,0
1237,1
1287,0
1183,0
663,1
2103,1
2950,0
3336,0
949,1
3683,1
1504,1
513,1
1982,1
1874,1
1040,0
3740,1
2627,0
2912,1
917,1
3555,1
1187,0
713,1
1651,1
2235,0
3423,0
1038,0
3693,1
907,1
3148,1
571,1
314,0
2897,0
1194,1
2120,0
2598,0
441,1
2512,1
2175,0
1946,0
614,1
2883,1
281,0
1597,0
162,1
2257,0
100,0
1807,0
2818,1
3124,0
3455,1
408,1
1382,0
1740,1
1920,0
3674,1
3332,0
402,1
993,1
1706,0
3681,0
1234,0
1439,1
3298,1
2413,0
43,0
3687,0
1451,1
139,0
3209,0
2325,0
1748,0
248,0
1347,0
960,0
1780,0
2983,0
2330,1
3625,1
1850,0
3628,1
3264,1
2788,0
1670,0
770,1
2212,0
561,1
3688,1
2668,1
3596,0
1199,1
1996,0
518,0
1201,1
11,0
3222,1
1057,0
2879,1
2866,1
40,1
283,1
2496,0
1791,0
708,0
3043,1
1701,1
1459,0
759,0
2172,1
279,1
205,0
119,1
1944,1
3140,1
26,1
896,1
815,0
85,1
1545,0
3742,0
2180,1
1917,1
3107,1
79,0
875,0
147,1
3537,0
1093,1
2463,1
3694,0
527,1
2525,1
3273,1
3017,0
799,1
565,1
2086,0
1087,1
310,0
1673,1
381,0
1779,0
2466,0
2313,0
1966,0
1102,1
596,0
1085,1
3226,0
3376,1
1852,0
2129,1
492,1
578,0
2738,0
1941,1
3103,0
2475,0
2766,1
2573,0
2674,1
2921,0
3454,1
2455,0
2821,1
2904,0
2605,0
3506,1
2770,1
3685,0
2752,0
520,1
2722,0
2570,1
1828,1
3558,0
3620,1
953,1
3059,1
1542,1
920,1
3427,0
450,1
1680,1
930,0
2314,0
1824,0
433,0
394,1
3095,1
758,0
2296,1
1437,1
3299,1
982,1
3216,1
1060,0
2102,0
3102,1
3023,0
33,1
2617,0
3300,0
206,0
1802,0
2259,1
1181,0
748,0
1538,1
1774,1
3389,1
948,1
927,1
3443,1
3397,0
1322,0
3266,1
2375,0
1508,1
20,0
868,0
3283,0
121,0
634,1
199,0
220,0
703,1
3333,1
579,0
3355,0
744,1
2082,1
36,1
304,1
1049,0
521,0
18,1
664,1
2065,0
1096,0
3340,1
3635,1
46,1
1163,1
1145,0
612,1
2705,1
3480,1
866,1
485,0
1722,0
2913,0
1494,1
2877,0
2640,0
1750,0
3040,1
522,0
3076,0
1094,1
1588,1
2734,0
3042,1
78,1
3618,1
1198,1
2052,1
2755,1
3700,1
1826,0
2137,0
1176,1
3474,1
2841,0
2966,1
2826,1
2533,1
1755,0
1549,1
1217,1
2247,1
504,1
2855,0
2152,0
1910,1
3356,0
1574,1
3218,1
1853,0
2947,1
1683,1
1593,1
3396,1
542,1
3416,1
2527,1
2754,0
3582,0
537,0
1915,1
3233,1
1696,0
3495,0
2560,0
2787,1
752,1
243,0
2801,1
1677,1
2003,0
2685,0
2635,0
2778,0
3142,1
1956,1
3072,0
2799,1
288,0
893,0
1522,0
2424,1
1475,0
1594,1
3643,0
2539,0
2483,1
114,1
3658,0
2,1
3256,0
567,1
1067,0
399,0
180,0
146,1
629,1
760,0
401,1
413,0
1104,1
859,0
606,0
1449,0
2410,1
172,1
3679,0
667,1
2546,0
227,0
1813,0
2634,1
3217,1
475,1
2185,1
487,0
3358,1
1808,1
642,0
1251,0
575,0
3487,1
2611,1
1389,0
3671,0
1004,0
203,1
411,1
258,1
3499,0
2526,1
2773,0
1606,0
3508,1
2733,0
1523,0
1415,0
2946,0
791,0
530,1
2557,0
3130,0
3029,1
2378,0
2376,1
3412,0
965,1
3698,1
833,0
1395,1
3695,1
1433,1
790,0
1784,0
550,0
1835,1
2835,0
2366,0
2491,1
3360,1
3066,0
803,1
2694,1
1144,0
2499,1
3391,1
387,1
3613,0
2076,1
2072,0
3367,1
1797,0
3532,0
2590,0
2658,1
2096,0
2978,1
2372,1
2957,0
2908,0
3004,1
2043,1
2055,1
2188,1
702,0
2853,0
3312,0
1296,0
1435,1
1685,1
1952,0
779,1
1390,1
675,1
421,1
3637,0
2490,1
519,0
3133,0
1487,0
2987,0
610,1
1314,0
37,0
474,1
559,1
1001,0
2019,1
904,0
1923,0
3718,1
3349,0
1579,1
633,1
144,1
2553,1
3562,1
2997,0
3126,1
382,0
1073,1
3734,1
2008,1
3651,1
1139,0
2085,1
1902,1
2746,0
1394,0
2721,0
1999,1
3010,1
2822,0
1150,1
1927,0
3512,0
1457,0
1424,0
769,0
1499,1
1990,0
297,1
3612,0
3636,1
1258,1
2629,1
1133,0
4,0
3068,1
1669,0
249,0
1179,0
1142,1
3052,1
101,1
436,0
1091,0
609,1
2131,0
1309,0
1154,1
731,1
1488,0
2974,1
734,1
2798,0
1781,1
1998,0
2093,1
3265,0
467,0
2094,1
1126,1
2952,1
1015,0
2538,1
1079,1
656,1
3501,1
1110,1
2017,1
2884,0
2428,1
2655,1
3650,0
756,1
284,1
2276,1
42,0
635,0
2435,1
80,1
2814,1
3149,0
193,1
2643,0
782,1
2408,0
137,0
2956,0
733,1
946,1
735,0
3252,1
1693,1
2804,1
2762,1
2500,0
1405,1
1753,1
1674,0
1294,0
2264,0
2781,1
105,1
874,1
3750,0
1836,0
3063,1
679,0
959,0
3385,1
3432,0
3553,1
1521,1
1427,1
3514,0
271,1
99,0
3538,0
1568,1
1733,1
2967,1
1665,0
2457,0
1582,1
247,1
745,1
1764,1
427,1
2836,0
2205,1
1507,1
153,1
2351,0
10,1
2044,1
3058,0
825,1
1363,1
807,0
2359,1
921,0
2433,1
829,0
2660,0
2602,0
1572,0
962,1
1257,0
1636,0
843,1
420,1
1711,1
2680,0
2383,1
2281,0
360,0
1531,0
846,1
3012,1
3084,1
3006,1
1892,0
2917,0
468,1
2202,1
3211,1
1490,0
1116,1
3735,1
3429,1
1838,1
1844,1
2163,0
2018,1
1616,0
3319,0
1888,1
2959,0
1645,1
3279,0
1573,0
1458,1
995,0
3726,0
2437,1
3400,0
2034,1
2128,0
1894,0
3183,0
1928,0
1355,1
1063,1
3394,0
2614,1
2261,0
999,0
2550,1
1713,0
804,1
324,0
3269,0
1772,0
1728,0
913,1
1112,0
881,1
1452,0
3545,1
3520,0
1345,1
863,0
3315,1
92,1
3549,1
3708,1
3262,1
2379,1
3622,1
1357,1
3697,0
2067,0
3294,0
2622,1
3318,1
1066,0
2982,1
2556,0
2604,0
3438,0
2541,1
3373,0
957,1
165,0
201,1
2386,0
238,1
1977,1
985,1
552,0
1991,0
2619,0
3057,0
3127,1
1819,1
3661,0
1644,0
2673,1
1280,1
1399,1
2039,0
48,0
2367,0
3070,1
3051,1
3535,1
3212,0
2162,1
3237,1
1378,1
740,1
1919,0
514,0
2198,1
1739,1
1431,1
1699,0
3516,0
1128,1
3713,1
1809,1
2761,0
3575,0
1695,1
2409,0
2236,0
1553,1
923,0
2267,0
2380,1
3407,0
3371,1
1657,0
268,1
2469,0
3623,0
2505,1
1242,1
1647,0
2523,0
107,1
1937,0
1413,1
1256,0
2848,1
3630,1
457,1
3430,0
2140,0
816,0
2421,1
3587,1
855,1
1025,0
142,1
3464,1
1473,1
2210,1
2991,0
861,0
616,1
2547,0
2470,1
570,1
931,1
327,1
